ID,Job_Title,Salary_Estimate,Rating,Company_Name,Size,Founded,Type_of_Ownership,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel
0,Data Scientist,$53K-$91K (Glassdoor est.),3.8,Tecolote Research,501 to 1000,1973,Company - Private,Aerospace & Defense,$50 to $100 million (USD),0,0,53,91,72.0, NM,47,1,0,0,0,1
1,Other Data related Job,$63K-$112K (Glassdoor est.),3.4,University of Maryland Medical System,10000+,1984,Other Organization,Health Care,$2 to $5 billion (USD),0,0,63,112,87.5, MD,36,1,0,0,0,0
2,Data Scientist,$80K-$90K (Glassdoor est.),4.8,KnowBe4,501 to 1000,2010,Company - Private,Business Services,$100 to $500 million (USD),0,0,80,90,85.0, FL,10,1,0,1,0,1
3,Data Scientist,$56K-$97K (Glassdoor est.),3.8,PNNL,1001 to 5000,1965,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,56,97,76.5, WA,55,1,0,0,0,0
4,Data Scientist,$86K-$143K (Glassdoor est.),2.9,Affinity Solutions,51 to 200,1998,Company - Private,Business Services,Unknown / Non-Applicable,0,0,86,143,114.5, NY,22,1,0,0,0,1
5,Data Scientist,$71K-$119K (Glassdoor est.),3.4,CyrusOne,201 to 500,2000,Company - Public,Real Estate,$1 to $2 billion (USD),0,0,71,119,95.0, TX,20,1,0,0,1,1
6,Data Scientist,$54K-$93K (Glassdoor est.),4.1,ClearOne Advantage,501 to 1000,2008,Company - Private,Finance,Unknown / Non-Applicable,0,0,54,93,73.5, MD,12,0,0,0,0,1
7,Data Scientist,$86K-$142K (Glassdoor est.),3.8,Logic20/20,201 to 500,2005,Company - Private,Business Services,$25 to $50 million (USD),0,0,86,142,114.0, CA,15,1,0,1,1,1
8,Research Scientist,$38K-$84K (Glassdoor est.),3.3,Rochester Regional Health,10000+,2014,Hospital,Health Care,$500 million to $1 billion (USD),0,0,38,84,61.0, NY,6,0,0,0,0,0
10,Data Scientist,$126K-$201K (Glassdoor est.),3.5,Wish,501 to 1000,2011,Company - Private,Retail,$1 to $2 billion (USD),0,0,126,201,163.5, CA,9,1,0,0,0,0
11,Data Scientist,$64K-$106K (Glassdoor est.),4.1,ManTech,5001 to 10000,1968,Company - Public,Business Services,$1 to $2 billion (USD),0,0,64,106,85.0, VA,52,0,0,0,0,0
12,Other Data related Job,$106K-$172K (Glassdoor est.),3.2,Walmart,10000+,1962,Company - Public,Retail,$10+ billion (USD),0,0,106,172,139.0, TX,58,0,0,0,0,0
13,Data Analyst,$46K-$85K (Glassdoor est.),4.1,Yesler,201 to 500,2012,Company - Private,Business Services,Unknown / Non-Applicable,0,0,46,85,65.5, WA,8,1,0,1,1,1
14,Data Scientist,$83K-$144K (Glassdoor est.),3.7,Takeda Pharmaceuticals,10000+,1781,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,83,144,113.5, MA,239,1,0,1,0,0
15,Other Data related Job,$102K-$190K (Glassdoor est.),3.6,Audible,1001 to 5000,1995,Subsidiary or Business Segment,Media,Unknown / Non-Applicable,0,0,102,190,146.0, NJ,25,0,0,0,0,1
16,Other Data related Job,$67K-$137K (Glassdoor est.),3.9,Blueprint Medicines,51 to 200,2011,Company - Public,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,67,137,102.0, MA,9,0,0,0,0,1
17,Other Data related Job,$118K-$189K (Glassdoor est.),4.3,h2o.ai,201 to 500,2011,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,118,189,153.5, CA,9,1,0,1,1,1
